"Word"|"synonyms"|"antonyms"|"related_to"|"origin"
"weaponries"|"ammunition,arms,defense,gun,heat,material,materiel,munitions,ordnance,protection,security,hardware,weaponry"|"harm,hurt,injury,desertion,surrender,capitulation,flight,betrayal,yielding"|"armament(s),defense,armament"|""
"weaponry"|"ammunition,arms,defense,gun,heat,material,materiel,munitions,ordnance,protection,security,hardware"|"harm,hurt,injury,desertion,surrender,capitulation,flight,betrayal,yielding"|"armament(s),defense,armament"|""
"weapon"|"machine gun,pistol,bomb,sword,tear gas,gun,missile,nerve gas,cannon,rifle,machete,ammunition,firearm,knife,catapult,dagger,spear,bayonet,ax,bludgeon,spike,lance,saber,club,musket,dart,blackjack,cleaver,baton,bat,hatchet,blade,battle-ax,arrow,boomerang,cudgel,billy club,bowie knife,nuclear bomb,shotgun,revolver,cutlass,barong,switchblade,stiletto,harpoon,arbalest,backsword,assegai,banderilla,slingshot,flamethrower,bazooka,ballista,scythe,dirk,crossbow,archery,howitzer,axe,blowgun,brass knuckles,anlace,atlatl,bow and arrow,hunting knife,nunchaku"|""|"arms,artillery,defense,munitions,ordnance,engine"|"weapon O.E. wæpen ""instrument of fighting and defense,"" from P.Gmc. *wæpnan (cf. O.S. wapan, O.N. vapn, Dan. vaaben, O.Fris. wepin, M.Du. wapen, O.H.G. waffen, Ger. wafen (neut.), waffe (fem.)), from *webno-m, of unknown origin with no cognates outside Gmc."
"weapons mass destruction"|"engines of war,weapons of mass destruction"|""|"military weapons"|""
"weapons of mass destruction"|"engines of war"|""|"military weapons"|""
"wear"|"wear and tear,loss,employment,mileage,dilapidation,service,disappearance,impairment,damage,friction,abrasion,usefulness,deterioration,depreciation,diminution,attrition,waste,erosion,utility,inroads"|"improvement,building,construction,development,strengthening"|"abrade,attire,attrition,bore,chafe,clothes"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wear a long face"|"brood,sulk,chafe,despond,grumble,regret,grump,lament,repine,grieve,yearn,pine,moon,idle,despair,sink,ache,languish,bleed,fret,droop,waste time,be apathetic,be down in the mouth,be gloomy,be in a funk,lose heart,pine away,stew over,sweat over,eat one's heart out"|"compliment,praise,dislike,hate,despise,grow,please,rise,strengthen,be elated,be happy"|"mope"|""
"wear and tear"|"depletion,erosion,depreciation,attrition,consumption,dissipation,decrement,ablation,hard wear,overuse,ravages of time,wearing away,weathering"|""|"age,consumption,harm,use,wear"|""
"wear away"|"burn,sting,oxidize,erode,consume,decay,sear,scour,tingle,decompose,smart,slash,engrave,etch,rot,dissolve,rust,deteriorate,eat into"|"construct,grow,improve,put together,unite,build,fix,develop,flourish,be careful"|"bite,damage,decay,decrease,deteriorate,die"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wear black"|"moan,sob,regret,wail,agonize,cry,grieve,bemoan,yearn,lament,ache,weep,deplore,complain,fret,bewail,anguish,sorrow,repine,pine,rue,keen,hurt,sigh,blubber,suffer,miss,bleed,languish,carry on,be brokenhearted,be sad,long for,take it hard,wring hands"|"delight,praise,dislike,hate,aid,assist,be content,be happy,please,approve,relieve,help,be joyful"|"mourn"|""
"wear cheaters"|"dress up,conceal,cloak,camouflage,belie,deceive,hide,obscure,alter,antique,feign,color,whitewash,fake,redo,counterfeit,varnish,fudge,falsify,sham,beard,masquerade,muffle,screen,shroud,dissemble,simulate,front,affect,veil,change,assume,age,pretend,cover,obfuscate,dissimulate,garble,secrete,make up,put on an act,touch up,gloss over,cover up,doctor up,make like,put on a false front,put on a front,put up a front"|"disclose,divulge,uncover,unmask,expose,lay bare,let out,open,reveal,show,tell,represent,tell truth,be honest"|"disguise"|""
"wear crown"|"control,manage,oversee,conduct,dictate,administer,supervise,regulate,carry out,guide,head,run,render,lead,superintend,sway,direct,reign,tyrannize,command,execute,captain,overrule,order,steer,pilot,assume command,be in power,call the shots,call the signals,exercise authority,head up,hold dominion,hold office,hold sway,lay down the law,occupy throne,pull the strings,serve the people,wear the crown,be in the driver's seat"|"obey,comply,surrender,acquiesce,consent,permit,abandon,mismanage,leave,neglect,follow,serve,fail,agree,yield,allow,give way"|"govern,reign"|""
"wear down"|"waste,wear,wear out,overuse"|""|"abrade,decrease,drain,erode,exhaust,fatigue"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wear long face"|"brood,sulk,chafe,despond,grumble,regret,grump,lament,repine,grieve,yearn,pine,moon,idle,despair,sink,ache,languish,bleed,fret,droop,waste time,be apathetic,be down in the mouth,be gloomy,be in a funk,lose heart,pine away,stew over,sweat over,wear a long face,eat one's heart out"|"compliment,praise,dislike,hate,despise,grow,please,rise,strengthen,be elated,be happy"|"mope"|""
"wear off"|"subside,diminish,disappear,stop,wear away"|""|""|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wear on"|"go on,linger,remain,stay,live,sustain,persist,survive,exist,hold,be,last,outlast,abide,stand,cling,superannuate,bide,prevail,outlive,wear,carry on,hang on,hold out,ride out,live on,be left,be long lived,be timeless,carry through,have no end,hold on,keep on,never say die,perdure,run on,stay on,stick to,wear well"|"cease,reject,refuse,discontinue,halt,stop,go,leave,depart,die,quit,lose,move"|"endure"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wear oneself out"|"overrate,overplay,exaggerate,overstate,overreach,magnify,stretch,hype,overwork,overload,belabor,pressure,fatigue,puff,overburden,overindulge,amplify,run riot,wear down,overvalue,overestimate,overuse,overtire,overtax,be intemperate,bite off too much,do to death,drive oneself,go overboard,go too far,lay it on,make federal case,not know when to stop,pile on,run into the ground,strain oneself,talk big"|"play down,decrease,lessen,compress,ignore,neglect"|"overdo"|""
"wear out"|"break,decay,waste,wear"|""|"bore,consume,debilitate,do in,enfeeble,lash"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wear pants"|"crack the whip,play first fiddle,ride herd,wear the pants"|""|"rule the roost"|"pants 1840, see pantaloons. Colloquial sing. pant is attested from 1893. To wear the pants ""be the dominant member of a household"" is first attested 1931. To do something by the seat of (one's) pants ""by human instinct"" is from 1942, originally of pilots, perhaps with some notion of being able to sense the condition and situation of the plane by engine vibrations, etc."
"wear tear"|"depletion,erosion,depreciation,attrition,consumption,dissipation,decrement,ablation,hard wear,overuse,ravages of time,wearing away,weathering"|"childhood,youth,adolescence,infancy"|"wear and tear,age,consumption,harm,use,wear"|""
"wear the crown"|"control,manage,oversee,conduct,dictate,administer,supervise,regulate,carry out,guide,head,run,render,lead,superintend,sway,direct,reign,tyrannize,command,execute,captain,overrule,order,steer,pilot,assume command,be in power,call the shots,call the signals,exercise authority,head up,hold dominion,hold office,hold sway,lay down the law,occupy throne,pull the strings,serve the people,be in the driver's seat"|"obey,comply,surrender,acquiesce,consent,permit,abandon,mismanage,leave,neglect,follow,serve,fail,agree,yield,allow,give way"|"govern,reign"|""
"wear the pants"|"crack the whip,play first fiddle,ride herd"|""|"rule the roost"|"pants 1840, see pantaloons. Colloquial sing. pant is attested from 1893. To wear the pants ""be the dominant member of a household"" is first attested 1931. To do something by the seat of (one's) pants ""by human instinct"" is from 1942, originally of pilots, perhaps with some notion of being able to sense the condition and situation of the plane by engine vibrations, etc."
"wear the trousers"|"be in control,be in the saddle,call the tune,lay down the law,make the decisions,make the rules,run the show,be in the driver's seat"|""|"call the shots"|""
"wear thin"|"unravel,erode,frazzle,chafe,rub,rip,tear,wear,ravel,fret,wear away,tatter,become ragged,become threadbare"|"sew,please"|"fray,wear"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wear threadbare"|"chafe,erode,ripple,excoriate,corrode,riffle,abrade,gall,fray,wear away"|"calm,comfort,soothe,appease,pacify,placate,build,please"|"fret"|""
"wear trousers"|"be in control,be in the saddle,call the tune,lay down the law,make the decisions,make the rules,run the show,wear the trousers,be in the driver's seat"|""|"call the shots"|""
"wear well"|"go on,linger,remain,stay,live,sustain,persist,survive,exist,hold,be,last,outlast,abide,stand,cling,superannuate,bide,prevail,outlive,wear,carry on,hang on,hold out,ride out,live on,be left,be long lived,be timeless,carry through,have no end,hold on,keep on,never say die,perdure,run on,stay on,stick to,wear on"|"cease,reject,refuse,discontinue,halt,stop,go,leave,depart,die,quit,lose,move"|"endure"|""
"wear-tear"|"depletion,erosion,depreciation,attrition,consumption,dissipation,decrement,ablation,hard wear,overuse,ravages of time,wearing away,weathering"|""|"wear and tear"|""
"wearied"|"shot,debilitated,weakened,drained,beat,limp,bushed,spent,worn,weary,disabled,fatigued,crippled,wasted,enervated,bleary,dead,done for,done in,effete,kaput,run-down,rundown,tired out,weak,weariful,worn out,worn-out,prostrated,frazzled,sapped,all in,bone-weary,dead tired,dog-tired,had it,outta gas,ready to drop,worn-down,out on one's feet"|"lively,healthy,invigorated,active,energized,strong,fresh,activated"|"beat,dead,exhausted,haggard,jaded,limp"|"weary O.E. werig ""tired,"" related to worian ""to wander, totter,"" from W.Gmc. *worigaz (cf. O.S. worig ""weary,"" O.H.G. wuorag ""intoxicated""), of unknown origin. The verb is O.E. wergian (intr.), gewergian (trans.)."
"weariful"|"beat,bleary,bushed,crippled,dead,debilitated,disabled,done for,done in,drained,effete,enervated,fatigued,kaput,limp,run-down,rundown,shot,spent,tired out,wasted,weak,weakened,wearied,weary,worn,worn out,worn-out,all in,bone-weary,dead tired,dog-tired,frazzled,had it,outta gas,prostrated,ready to drop,sapped,worn-down,out on one's feet"|""|"dry,insipid,tedious,tired out,tuckered,wearied"|""
"weariless"|"active,eager,energetic,enthusiastic,grind,incessant,indefatigable,industrious,inexhaustible,jumping,perky,persevering,resolute,steadfast,strenuous,unfailing,unflagging,untiring,unwearied,vigorous,ball of fire,hard-working,hyper,on the go,unwearying"|""|"unwearied"|""
"wearily"|"dully,profoundly,densely,thickly,massively,dejectedly,gloomily,ponderously,sluggishly,tediously,weightily"|"lightly,easily,gently"|"heavily"|"weary O.E. werig ""tired,"" related to worian ""to wander, totter,"" from W.Gmc. *worigaz (cf. O.S. worig ""weary,"" O.H.G. wuorag ""intoxicated""), of unknown origin. The verb is O.E. wergian (intr.), gewergian (trans.)."
"weariness"|"ennui,fatigue,boredom,tedium,languor,lethargy,lassitude,monotony,languishment"|"excitement,vigor,energy,liveliness"|"dissatisfaction,ennui,exhaustion,fatigue,gloom,lassitude"|"weary O.E. werig ""tired,"" related to worian ""to wander, totter,"" from W.Gmc. *worigaz (cf. O.S. worig ""weary,"" O.H.G. wuorag ""intoxicated""), of unknown origin. The verb is O.E. wergian (intr.), gewergian (trans.)."
"wearing"|"exhausting,draining"|""|"burdensome,demanding,hard,laborious,taxing,tiresome"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wearing a long face"|"brood,sulk,chafe,despond,grumble,regret,grump,lament,repine,grieve,yearn,pine,moon,idle,despair,sink,ache,languish,bleed,fret,droop,waste time,be apathetic,be down in the mouth,be gloomy,be in a funk,lose heart,pine away,stew over,sweat over,wear a long face,eat one's heart out"|"compliment,praise,dislike,hate,despise,grow,please,rise,strengthen,be elated,be happy"|"mope"|""
"wearing away"|"loss,exodus,departure,removal,melting,retirement,flight,evanescence,wane,dissolution,escape,eclipse,dispersal,evaporation,recession,desertion,going,exit,withdrawal,dissipation,passing,disintegration,fading,ebbing,receding,ceasing to exist,decline and fall,dematerialization,disappearing act"|"coming,arrival,entrance,staying,stay,appearance"|"disappearance,friction,decaying,wear and tear,vanishment,bite"|""
"wearing aways"|"loss,exodus,departure,removal,melting,retirement,flight,evanescence,wane,dissolution,escape,eclipse,dispersal,evaporation,recession,desertion,going,exit,withdrawal,dissipation,passing,disintegration,fading,ebbing,receding,ceasing to exist,decline and fall,dematerialization,disappearing act,wearing away"|"coming,arrival,entrance,staying,stay,appearance"|"disappearance,friction,wear and tear,vanishment"|""
"wearing black"|"moan,sob,regret,wail,agonize,cry,grieve,bemoan,yearn,lament,ache,weep,deplore,complain,fret,bewail,anguish,sorrow,repine,pine,rue,keen,hurt,sigh,blubber,suffer,miss,bleed,languish,carry on,be brokenhearted,be sad,long for,take it hard,wear black,wring hands"|"delight,praise,dislike,hate,aid,assist,be content,be happy,please,approve,relieve,help,be joyful"|"mourn"|""
"wearing cheaters"|"dress up,conceal,cloak,camouflage,belie,deceive,hide,obscure,alter,antique,feign,color,whitewash,fake,redo,counterfeit,varnish,fudge,falsify,sham,beard,masquerade,muffle,screen,shroud,dissemble,simulate,front,affect,veil,change,assume,age,pretend,cover,obfuscate,dissimulate,garble,secrete,make up,put on an act,touch up,gloss over,cover up,doctor up,make like,put on a false front,put on a front,put up a front,wear cheaters"|"disclose,divulge,uncover,unmask,expose,lay bare,let out,open,reveal,show,tell,represent,tell truth,be honest"|"disguise"|""
"wearing crown"|"control,manage,oversee,conduct,dictate,administer,supervise,regulate,carry out,guide,head,run,render,lead,superintend,sway,direct,reign,tyrannize,command,execute,captain,overrule,order,steer,pilot,assume command,be in power,call the shots,call the signals,exercise authority,head up,hold dominion,hold office,hold sway,lay down the law,occupy throne,pull the strings,serve the people,wear the crown,be in the driver's seat"|"obey,comply,surrender,acquiesce,consent,permit,abandon,mismanage,leave,neglect,follow,serve,fail,agree,yield,allow,give way"|"govern,reign"|""
"wearing downs"|"disintegration,corrosion,decrease,destruction,despoliation,consumption,abrasion,wear,attrition,spoiling,desedimentation,eating away,grinding down,washing away,wearing down"|"building,construction,rebuilding,strengthening"|"erosion"|""
"wearing long face"|"brood,sulk,chafe,despond,grumble,regret,grump,lament,repine,grieve,yearn,pine,moon,idle,despair,sink,ache,languish,bleed,fret,droop,waste time,be apathetic,be down in the mouth,be gloomy,be in a funk,lose heart,pine away,stew over,sweat over,wear a long face,eat one's heart out"|"compliment,praise,dislike,hate,despise,grow,please,rise,strengthen,be elated,be happy"|"mope"|""
"wearing on"|"go on,linger,remain,stay,live,sustain,persist,survive,exist,hold,be,last,outlast,abide,stand,cling,superannuate,bide,prevail,outlive,wear,carry on,hang on,hold out,ride out,live on,be left,be long lived,be timeless,carry through,have no end,hold on,keep on,never say die,perdure,run on,stay on,stick to,wear on,wear well"|"cease,reject,refuse,discontinue,halt,stop,go,leave,depart,die,quit,lose,move"|"endure"|""
"wearing oneself out"|"overrate,overplay,exaggerate,overstate,overreach,magnify,stretch,hype,overwork,overload,belabor,pressure,fatigue,puff,overburden,overindulge,amplify,run riot,wear down,overvalue,overestimate,overuse,overtire,overtax,be intemperate,bite off too much,do to death,drive oneself,go overboard,go too far,lay it on,make federal case,not know when to stop,pile on,run into the ground,strain oneself,talk big,wear oneself out"|"play down,decrease,lessen,compress,ignore,neglect"|"overdo"|""
"wearing only a smile"|"naked,bald,raw,skin,au naturel,bare,exposed,stark,stripped,unclad,uncovered,undressed,dishabille,bare-skinned,buck naked,disrobed,garmentless,in birthday suit,in the altogether,peeled,stark-naked,unattired,unclothed,undraped,without a stitch,in one's skin"|"clothed,covered"|"nude,starkers,unclad"|""
"wearing only smile"|"naked,bald,raw,skin,au naturel,bare,exposed,stark,stripped,unclad,uncovered,undressed,dishabille,bare-skinned,buck naked,disrobed,garmentless,in birthday suit,in the altogether,peeled,stark-naked,unattired,unclothed,undraped,wearing only a smile,without a stitch,in one's skin"|"clothed,covered"|"nude,starkers,unclad"|""
"wear out"|"break,decay,waste,wear"|""|"aging,bore,consume,debilitate,do in,enfeeble"|"wear O.E. werian ""to clothe, put on,"" from P.Gmc. *wazjanan (cf. O.N. verja, O.H.G. werian, Goth. gawasjan ""to clothe""), from PIE *wes- ""to clothe"" (cf. Skt. vaste ""he puts on,"" vasanam ""garment;"" Avestan vah-; Gk. esthes ""clothing,"" hennymi ""to clothe,"" eima ""garment;"" L. vestire; Welsh gwisgo, Breton gwiska; O.E. wæstling ""sheet, blanket;"" Hittite washshush ""garments,"" washanzi ""they dress""). The Gmc. forms ""were homonyms of the vb. for 'prevent, ward off, protect' (Goth. warjan, O.E. werian, etc.), and this was prob. a factor in their early displacement in most of the Gmc. languages"" [Buck].  ...Shifted from a weak verb (past tense and pp. wered) to a strong one (past tense wore, p.p. worn) in 14c. on analogy of rhyming strong verbs such as bear and tear. Secondary sense of ""use up, gradually damage"" (c.1275) is from effect of continued use on clothes. To be the worse for wear is attested from 1782; wear and tear is first recorded 1666."
"wearing outs"|"maturing,waning,crumbling,stale,fading,mellowing,slumping,developing,fermenting,declining,getting along,getting on,senescent,wearing out"|""|"aging"|""
"wearing pants"|"crack the whip,play first fiddle,ride herd,wear the pants"|""|"rule the roost"|""
"wearing the crown"|"control,manage,oversee,conduct,dictate,administer,supervise,regulate,carry out,guide,head,run,render,lead,superintend,sway,direct,reign,tyrannize,command,execute,captain,overrule,order,steer,pilot,assume command,be in power,call the shots,call the signals,exercise authority,head up,hold dominion,hold office,hold sway,lay down the law,occupy throne,pull the strings,serve the people,wear the crown,be in the driver's seat"|"obey,comply,surrender,acquiesce,consent,permit,abandon,mismanage,leave,neglect,follow,serve,fail,agree,yield,allow,give way"|"govern,reign"|""
"wearing the pants"|"crack the whip,play first fiddle,ride herd,wear the pants"|""|"rule the roost"|""
"wearing the trousers"|"be in control,be in the saddle,call the tune,lay down the law,make the decisions,make the rules,run the show,wear the trousers,be in the driver's seat"|""|"call the shots"|""
"wearing thin"|"unravel,erode,frazzle,chafe,rub,rip,tear,wear,ravel,fret,wear away,tatter,become ragged,become threadbare,wear thin"|"sew,please"|"fray,wear"|""
"wearing threadbare"|"chafe,erode,ripple,excoriate,corrode,riffle,abrade,gall,fray,wear away,wear threadbare"|"calm,comfort,soothe,appease,pacify,placate,build,please"|"fret"|""
"wearing trousers"|"be in control,be in the saddle,call the tune,lay down the law,make the decisions,make the rules,run the show,wear the trousers,be in the driver's seat"|""|"call the shots"|""
"wearing well"|"go on,linger,remain,stay,live,sustain,persist,survive,exist,hold,be,last,outlast,abide,stand,cling,superannuate,bide,prevail,outlive,wear,carry on,hang on,hold out,ride out,live on,be left,be long lived,be timeless,carry through,have no end,hold on,keep on,never say die,perdure,run on,stay on,stick to,wear on,wear well"|"cease,reject,refuse,discontinue,halt,stop,go,leave,depart,die,quit,lose,move"|"endure"|""
"wearisome"|"boring,dull,laborious,strenuous,tedious,tiresome,toilsome"|"refreshing"|"arid,backbreaking,boring,common,cumbersome,difficult"|""
"wearisomeness"|"tedium,similarity,dreariness,humdrum,flatness,dryness,uniformity,evenness,routine,dullness,continuity,monotone,continuance,likeness,identicalness,oneness,tediousness,ennui,monotonousness,repetitiveness,unchangeableness,repetitiousness,tiresomeness,invariability,colorlessness,equability,levelness,same old thing"|"dissimilarity,unlikeness,excitement,stoppage,versatility,difference,break,liveliness,change,color,variability"|"monotony,tedium,monotone,monotonousness"|""
"wearisomenesses"|"tedium,similarity,dreariness,humdrum,flatness,dryness,uniformity,evenness,routine,dullness,continuity,monotone,continuance,likeness,identicalness,oneness,tediousness,ennui,monotonousness,repetitiveness,unchangeableness,repetitiousness,tiresomeness,invariability,colorlessness,equability,levelness,same old thing,wearisomeness"|"dissimilarity,unlikeness,excitement,stoppage,versatility,difference,break,liveliness,change,color,variability"|"monotony,tedium,monotone,monotonousness"|""
"wears a long face"|"brood,sulk,chafe,despond,grumble,regret,grump,lament,repine,grieve,yearn,pine,moon,idle,despair,sink,ache,languish,bleed,fret,droop,waste time,be apathetic,be down in the mouth,be gloomy,be in a funk,lose heart,pine away,stew over,sweat over,wear a long face,eat one's heart out"|"compliment,praise,dislike,hate,despise,grow,please,rise,strengthen,be elated,be happy"|"mope"|""
"wears away"|"burn,sting,oxidize,erode,consume,decay,sear,scour,tingle,decompose,smart,slash,engrave,etch,rot,dissolve,rust,deteriorate,eat into,wear away"|"construct,grow,improve,put together,unite,build,fix,develop,flourish,be careful"|"bite,damage,decay,decrease,deteriorate,die"|""
"wears black"|"moan,sob,regret,wail,agonize,cry,grieve,bemoan,yearn,lament,ache,weep,deplore,complain,fret,bewail,anguish,sorrow,repine,pine,rue,keen,hurt,sigh,blubber,suffer,miss,bleed,languish,carry on,be brokenhearted,be sad,long for,take it hard,wear black,wring hands"|"delight,praise,dislike,hate,aid,assist,be content,be happy,please,approve,relieve,help,be joyful"|"mourn"|""
"wears cheaters"|"dress up,conceal,cloak,camouflage,belie,deceive,hide,obscure,alter,antique,feign,color,whitewash,fake,redo,counterfeit,varnish,fudge,falsify,sham,beard,masquerade,muffle,screen,shroud,dissemble,simulate,front,affect,veil,change,assume,age,pretend,cover,obfuscate,dissimulate,garble,secrete,make up,put on an act,touch up,gloss over,cover up,doctor up,make like,put on a false front,put on a front,put up a front,wear cheaters"|"disclose,divulge,uncover,unmask,expose,lay bare,let out,open,reveal,show,tell,represent,tell truth,be honest"|"disguise"|""
